industry,num_code,full_code,index
可选消费,002190,SZ002190,SH000073
原材料,002191,SZ002191,SH000071
原材料,002192,SZ002192,SH000071
可选消费,002193,SZ002193,SH000073
通信服务,002194,SZ002194,SH000078
通信服务,002195,SZ002195,SH000078
可选消费,002196,SZ002196,SH000073
通信服务,002197,SZ002197,SH000078
医药卫生,002198,SZ002198,SH000075
信息技术,002199,SZ002199,SH000077
可选消费,0022.HK,SZ0022.HK,SH000073
工业,002200,SZ002200,SH000072
原材料,002201,SZ002201,SH000071
工业,002202,SZ002202,SH000072
原材料,002203,SZ002203,SH000071
工业,002204,SZ002204,SH000072
原材料,002205,SZ002205,SH000071
原材料,002206,SZ002206,SH000071
能源,002207,SZ002207,SH000070
房地产,002208,SZ002208,SZ399965
工业,002209,SZ002209,SH000072
工业,002210,SZ002210,SH000072
原材料,002211,SZ002211,SH000071
信息技术,002212,SZ002212,SH000077
信息技术,002213,SZ002213,SH000077
工业,002214,SZ002214,SH000072
原材料,002215,SZ002215,SH000071
主要消费,002216,SZ002216,SH000074
信息技术,002217,SZ002217,SH000077
工业,002218,SZ002218,SH000072
医药卫生,002219,SZ002219,SH000075
能源,002221,SZ002221,SH000070
信息技术,002222,SZ002222,SH000077
医药卫生,002223,SZ002223,SH000075
原材料,002224,SZ002224,SH000071
原材料,002225,SZ002225,SH000071
原材料,002226,SZ002226,SH000071
工业,002227,SZ002227,SH000072
原材料,002228,SZ002228,SH000071
工业,002229,SZ002229,SH000072
信息技术,002230,SZ002230,SH000077
原材料,002231,SZ002231,SH000071
信息技术,002232,SZ002232,SH000077
原材料,002233,SZ002233,SH000071
主要消费,002234,SZ002234,SH000074
原材料,002235,SZ002235,SH000071
信息技术,002236,SZ002236,SH000077
原材料,002237,SZ002237,SH000071
通信服务,002238,SZ002238,SH000078
可选消费,002239,SZ002239,SH000073
原材料,002240,SZ002240,SH000071
信息技术,002241,SZ002241,SH000077
可选消费,002242,SZ002242,SH000073
原材料,002243,SZ002243,SH000071
房地产,002244,SZ002244,SZ399965
工业,002245,SZ002245,SH000072
工业,002246,SZ002246,SH000072
工业,002247,SZ002247,SH000072
工业,002248,SZ002248,SH000072
工业,002249,SZ002249,SH000072
原材料,002250,SZ002250,SH000071
可选消费,002251,SZ002251,SH000073
医药卫生,002252,SZ002252,SH000075
信息技术,002253,SZ002253,SH000077
原材料,002254,SZ002254,SH000071
工业,002255,SZ002255,SH000072
公用事业,002256,SZ002256,SH000079
原材料,002258,SZ002258,SH000071
公用事业,002259,SZ002259,SH000079
信息技术,002261,SZ002261,SH000077
医药卫生,002262,SZ002262,SH000075
原材料,002263,SZ002263,SH000071
通信服务,002264,SZ002264,SH000078
可选消费,002265,SZ002265,SH000073
工业,002266,SZ002266,SH000072
